"","Nachname","Vorname","Geburtsjahr","Frau","Partei","Stimmen","Listenplatz","Liste","Gewaehlt","Kanton","Alter","Sitze"
"nr","Haas","Quentin",1991,0,"CSP",1768,1,"1",0,"JU",24,2
"nr1","Maitre-Schindelholz","Suzanne",1956,1,"CSP",1830,2,"1",0,"JU",59,2
"nr2","Fridez","Pierre-Alain",1957,0,"SP",8301,1,"2",1,"JU",58,2
"nr3","Brülhart","Mélanie",1975,1,"SP",3903,2,"2",0,"JU",40,2
"nr4","Iezzi","Fabrice",1991,0,"SP",384,1,"3",0,"JU",24,2
"nr5","Tomaselli","Diego",1987,0,"SP",314,2,"3",0,"JU",28,2
"nr6","Terrier","Christophe",1973,0,"GPS",1248,1,"4",0,"JU",42,2
"nr7","Hennequin","Erica",1951,1,"GPS",1460,2,"4",0,"JU",64,2
"nr8","Gschwind","Jean-Paul",1952,0,"CVP",8728,1,"5",1,"JU",63,2
"nr9","Marti","Karine",1965,1,"CVP",4245,2,"5",0,"JU",50,2
"nr10","Girardin","Anaïs",1991,1,"CVP",1119,1,"6",0,"JU",24,2
"nr11","Wiser","Jessica",1996,1,"CVP",517,2,"6",0,"JU",19,2
"nr12","Voirol","Gabriel",1961,0,"FDP",5163,1,"7",0,"JU",54,2
"nr13","Donzé","Gérard",1949,0,"FDP",2982,2,"7",0,"JU",66,2
"nr14","Favre","Brigitte",1984,1,"SVP",2867,1,"8",0,"JU",31,2
"nr15","Stettler","Thomas",1969,0,"SVP",4119,2,"8",0,"JU",46,2
"nr16","Schouller","Alexis",1988,0,"FDP",386,1,"9",0,"JU",27,2
"nr17","Simon","Thierry",1989,0,"FDP",536,2,"9",0,"JU",26,2
"nr18","Theurillat","Guite",1947,1,"PdA",562,1,"10",0,"JU",68,2
"nr19","Fedele","Pierluigi",1973,0,"PdA",1490,2,"10",0,"JU",42,2
"nr20","Godat","Ivan",1986,0,"GPS",683,1,"11",0,"JU",29,2
"nr21","Rohner","Magali",1977,1,"GPS",595,2,"11",0,"JU",38,2
"nr22","Berthold","Julien",1988,0,"Ü",308,1,"12",0,"JU",27,2
"nr23","Prince","Pascal",1969,0,"Ü",433,2,"12",0,"JU",46,2
"nr178","Mahrer","Anne",1948,1,"GPS",11677,1,"1",0,"GE",67,11
"nr179","Mazzone","Lisa",1988,1,"GPS",12331,2,"1",1,"GE",27,11
"nr210","Bavarel","Christian",1968,0,"GPS",9350,3,"1",0,"GE",47,11
"nr310","Eckert","Pierre",1952,0,"GPS",10114,4,"1",0,"GE",63,11
"nr410","Forster Carbonnier","Sophie",1968,1,"GPS",9956,5,"1",0,"GE",47,11
"nr510","Hartmann","Esther",1970,1,"GPS",8409,6,"1",0,"GE",45,11
"nr610","Lefort","François",1962,0,"GPS",9214,7,"1",0,"GE",53,11
"nr710","Rossiaud","Jean",1960,0,"GPS",8708,8,"1",0,"GE",55,11
"nr810","Barazzone","Guillaume",1982,0,"CVP",27074,1,"2",1,"GE",33,11
"nr910","Blondin","Jacques",1952,0,"CVP",20003,2,"2",0,"GE",63,11
"nr1010","Bocquet (Thonney)","Claude (Claude-Marie)",1962,1,"CVP",19533,3,"2",0,"GE",53,11
"nr1110","Mettan","Guy",1956,0,"CVP",20812,4,"2",0,"GE",59,11
"nr1210","Schmied","Véronique",1952,1,"CVP",18408,5,"2",0,"GE",63,11
"nr1310","Sommaruga","Carlo",1959,0,"SP",24548,1,"3",1,"GE",56,11
"nr1410","Fehlmann Rielle","Laurence",1955,1,"SP",20099,2,"3",1,"GE",60,11
"nr1510","Tornare","Manuel",1951,0,"SP",22037,3,"3",1,"GE",64,11
"nr1610","Schneider Hausser","Lydia",1958,1,"SP",18798,4,"3",0,"GE",57,11
"nr1710","Tanquerel","Thierry",1954,0,"SP",18723,5,"3",0,"GE",61,11
"nr181","Valiquer Grecuccio","Nicole",1960,1,"SP",17745,6,"3",0,"GE",55,11
"nr191","Thévoz","Sylvain",1974,0,"SP",17649,7,"3",0,"GE",41,11
"nr201","Baranova","Olga",1991,1,"SP",16682,8,"3",0,"GE",24,11
"nr211","Deneys","Roger",1963,0,"SP",17560,9,"3",0,"GE",52,11
"nr221","Gavilanes","Amanda",1983,1,"SP",16811,10,"3",0,"GE",32,11
"nr231","Wenger","Thomas",1977,0,"SP",17447,11,"3",0,"GE",38,11
"nr24","Amaudruz","Céline",1979,1,"SVP",20759,1,"4",1,"GE",36,11
"nr25","Nidegger","Yves",1957,0,"SVP",20541,2,"4",1,"GE",58,11
"nr26","Leyvraz","Eric",1946,0,"SVP",16944,3,"4",0,"GE",69,11
"nr27","Lussi","Patrick",1950,0,"SVP",15894,4,"4",0,"GE",65,11
"nr28","Bläsi","Thomas",1971,0,"SVP",16353,5,"4",0,"GE",44,11
"nr29","Ivanov","Christo",1959,0,"SVP",15935,6,"4",0,"GE",56,11
"nr30","Bertinat","Eric",1956,0,"SVP",16107,7,"4",0,"GE",59,11
"nr31","Hulliger","Patrick",1957,0,"SVP",15537,8,"4",0,"GE",58,11
"nr32","Fuhrmann","Marc",1968,0,"SVP",15409,9,"4",0,"GE",47,11
"nr33","Nobs","Howard",1982,0,"SVP",15292,10,"4",0,"GE",33,11
"nr34","Hiltpold","Hugues",1969,0,"FDP",42623,1,"5",1,"GE",46,11
"nr35","Lüscher","Christian",1963,0,"FDP",43441,2,"5",1,"GE",52,11
"nr36","Wavre","Rolin",1963,0,"FDP",37926,3,"5",0,"GE",52,11
"nr37","Genecand","Benoît",1964,0,"FDP",40772,4,"5",1,"GE",51,11
"nr38","Zeder","Silvia",1969,1,"FDP",37085,5,"5",0,"GE",46,11
"nr39","Batou","Jean",1954,0,"Sol",5861,1,"6",0,"GE",61,11
"nr40","Wenger","Saliha (Salika)",1949,1,"Sol",4915,2,"6",0,"GE",66,11
"nr41","Bayenet","Pierre",1976,0,"Sol",4819,3,"6",0,"GE",39,11
"nr42","Ecuyer","Hélène",1953,1,"Sol",3421,4,"6",0,"GE",62,11
"nr43","Cruchon","Pablo",1983,0,"Sol",3619,5,"6",0,"GE",32,11
"nr44","Eniline","Alexander",1990,0,"Sol",3250,6,"6",0,"GE",25,11
"nr45","Schmid","Audrey",1986,1,"Sol",3524,7,"6",0,"GE",29,11
"nr46","Zehfus","Yves",1953,0,"Sol",3134,8,"6",0,"GE",62,11
"nr47","Ecuyer","Annick",1976,0,"Sol",3444,9,"6",0,"GE",39,11
"nr48","Schneeberger","Thibault",1982,0,"Sol",3594,10,"6",0,"GE",33,11
"nr49","Blanchet","Marjorie",1981,1,"Sol",3624,11,"6",0,"GE",34,11
"nr50","Bachmann","Delphine",1988,1,"CVP",1993,1,"7",0,"GE",27,11
"nr51","Buchs","Sophie",1987,1,"CVP",2127,2,"7",0,"GE",28,11
"nr52","Primo Da Silva","Bruno",1995,0,"CVP",1233,3,"7",0,"GE",20,11
"nr53","Fournier","Nicolas",1993,0,"CVP",1509,4,"7",0,"GE",22,11
"nr54","Piccoli","Adriano",1987,0,"CVP",1420,5,"7",0,"GE",28,11
"nr55","Shatri","Diellza",1993,1,"CVP",1381,6,"7",0,"GE",22,11
"nr56","Golay","Roger",1959,0,"MCR",16483,1,"8",1,"GE",56,11
"nr57","Stauffer","Eric",1964,0,"MCR",9015,2,"8",0,"GE",51,11
"nr58","Roch","Ana Belen (Ana)",1973,1,"MCR",6897,3,"8",0,"GE",42,11
"nr59","Dimier","Patrick",1950,0,"MCR",7063,4,"8",0,"GE",65,11
"nr60","Sormanni","Daniel",1950,0,"MCR",7036,5,"8",0,"GE",65,11
"nr61","Seydoux","Laurent",1967,0,"GLP",4657,1,"9",0,"GE",48,11
"nr62","Thorimbert","Denis",1959,0,"GLP",2378,2,"9",0,"GE",56,11
"nr63","Borstcher","Catherine",1957,1,"GLP",2243,3,"9",0,"GE",58,11
"nr64","Peyraud","Alexandre",1972,0,"GLP",2190,4,"9",0,"GE",43,11
"nr65","Gottschall","Christian",1956,0,"GLP",2147,5,"9",0,"GE",59,11
"nr66","Weber","Brigitte",1952,1,"GLP",2115,6,"9",0,"GE",63,11
"nr67","Fontana","Jérôme",1980,0,"GLP",1947,7,"9",0,"GE",35,11
"nr68","Nanzer","Sarah",1991,1,"GLP",1928,8,"9",0,"GE",24,11
"nr69","Senglet","Marc",1992,0,"GLP",2311,9,"9",0,"GE",23,11
"nr70","Ruffieux","Jean-Luc",1960,0,"EDU",395,1,"10",0,"GE",55,11
"nr71","Ruffieux (Guignard)","Sylvie",1960,1,"EDU",324,2,"10",0,"GE",55,11
"nr72","Laurent","René",1956,0,"EDU",316,3,"10",0,"GE",59,11
"nr73","Laurent","Claudine",1961,1,"EDU",321,4,"10",0,"GE",54,11
"nr74","Ruchet","Audrey",1985,1,"SP",612,1,"11",0,"GE",30,11
"nr75","Cornuz","Christian",1959,0,"SP",520,2,"11",0,"GE",56,11
"nr76","Courtens","Gaëlle",1967,1,"SP",705,3,"11",0,"GE",48,11
"nr77","Schwab","Juan Carlos",1952,0,"SP",584,4,"11",0,"GE",63,11
"nr78","Uldry","Claude",1957,0,"SP",721,5,"11",0,"GE",58,11
"nr79","Bongard","David",1969,0,"SP",665,6,"11",0,"GE",46,11
"nr80","Lottaz","Pascal",1985,0,"SP",627,7,"11",0,"GE",30,11
"nr81","Leuenberger","Sylvia",1952,1,"GPS",2120,1,"12",0,"GE",63,11
"nr82","Maulini (Dreyfus)","Gabrielle",1950,1,"GPS",1231,2,"12",0,"GE",65,11
"nr83","Rinaldi","Daniel",1955,0,"GPS",1078,3,"12",0,"GE",60,11
"nr84","Schneider","Max",1947,0,"GPS",1144,4,"12",0,"GE",68,11
"nr85","Vischer","Barbara",1929,1,"GPS",1016,5,"12",0,"GE",86,11
"nr86","Caduff","Johann (Otto)",1941,0,"GPS",821,6,"12",0,"GE",74,11
"nr87","de Weck","Bertrand",1950,0,"GPS",1001,7,"12",0,"GE",65,11
"nr88","Gerdil","Lucienne",1937,1,"GPS",963,8,"12",0,"GE",78,11
"nr89","Hoffmann","Inge",1950,1,"GPS",974,9,"12",0,"GE",65,11
"nr90","Le Comte","Ferdinand",1943,0,"GPS",1191,10,"12",0,"GE",72,11
"nr91","George","André",1947,0,"SVP",733,1,"13",0,"GE",68,11
"nr92","Etienne","Xavier Max",1969,0,"SVP",707,2,"13",0,"GE",46,11
"nr93","Dumas","Jean-Jacques",1953,0,"SVP",700,3,"13",0,"GE",62,11
"nr94","Strasser","Désirée",1974,1,"SVP",718,4,"13",0,"GE",41,11
"nr95","Delessert","Yves",1950,0,"SVP",775,5,"13",0,"GE",65,11
"nr96","Bucher","Denis",1976,0,"GPS",793,1,"14",0,"GE",39,11
"nr97","de Maio","Sara",1992,1,"GPS",813,2,"14",0,"GE",23,11
"nr98","Lemoine","Philippe",1959,0,"GPS",678,3,"14",0,"GE",56,11
"nr99","Loosli","Peter",1958,0,"GPS",874,4,"14",0,"GE",57,11
"nr100","Walthert Selosse","Catherine",1960,1,"GPS",680,5,"14",0,"GE",55,11
"nr101","Nurock","Julien",1989,0,"MCR",389,1,"15",0,"GE",26,11
"nr102","Reichenbach","Kevin",1989,0,"MCR",303,2,"15",0,"GE",26,11
"nr103","Chappaz","Marc",1989,0,"MCR",340,3,"15",0,"GE",26,11
"nr104","Roque","Raphaëla",1996,1,"SVP",500,1,"16",0,"GE",19,11
"nr105","Bertinat","Marie-Agnès",1988,1,"SVP",566,2,"16",0,"GE",27,11
"nr106","Christie Cotera (Christie)","Alfredo (Benjamin)",1996,0,"SVP",401,3,"16",0,"GE",19,11
"nr107","Schwitzguebel","Joachim",1988,0,"SVP",582,4,"16",0,"GE",27,11
"nr108","Guinchard","Damien",1990,0,"SVP",488,5,"16",0,"GE",25,11
"nr109","Navratil","Joseph",1985,0,"SVP",429,6,"16",0,"GE",30,11
"nr110","Mounla","Alexandre",1991,0,"SVP",459,7,"16",0,"GE",24,11
"nr111","Dournow","David",1989,0,"SVP",411,8,"16",0,"GE",26,11
"nr112","Ardizzone","Ivan",1992,0,"GPS",1177,1,"17",0,"GE",23,11
"nr113","Cabitza","Marina",1992,1,"GPS",1140,2,"17",0,"GE",23,11
"nr114","Chetirian","Varoujan",1996,0,"GPS",891,3,"17",0,"GE",19,11
"nr115","Concha","Celtia",1988,1,"GPS",1270,4,"17",0,"GE",27,11
"nr116","Pasche","Sabrina",1986,1,"GPS",1526,5,"17",0,"GE",29,11
"nr117","Vaucher","Joris",1987,0,"GPS",1206,6,"17",0,"GE",28,11
"nr118","Deuber Ziegler","Erica",1942,1,"Sol",2004,1,"18",0,"GE",73,11
"nr119","Godinat","Gilles",1947,0,"Sol",1259,2,"18",0,"GE",68,11
"nr120","Filipowski","Magdalena",1955,1,"Sol",918,3,"18",0,"GE",60,11
"nr121","Ecuyer","René",1943,0,"Sol",969,4,"18",0,"GE",72,11
"nr122","Stebler Guenat (Stebler)","Henriette",1950,1,"Sol",850,5,"18",0,"GE",65,11
"nr123","Riesen","Alain",1947,0,"Sol",977,6,"18",0,"GE",68,11
"nr124","Ruchat","Martine",1954,1,"Sol",900,7,"18",0,"GE",61,11
"nr125","Clerc","Bernard",1946,0,"Sol",999,8,"18",0,"GE",69,11
"nr126","Budry","Marie (Maryelle)",1942,1,"Sol",1119,9,"18",0,"GE",73,11
"nr127","Willig","Giulia",1989,1,"Sol",1102,1,"19",0,"GE",26,11
"nr128","Burgermeister","Jean",1989,0,"Sol",945,2,"19",0,"GE",26,11
"nr129","Martenot","Aude",1986,1,"Sol",941,3,"19",0,"GE",29,11
"nr130","Lany","Xavier",1982,0,"Sol",795,4,"19",0,"GE",33,11
"nr131","Bon","Zoé",1988,1,"Sol",986,5,"19",0,"GE",27,11
"nr132","Ecuyer","Sébastien",1979,0,"Sol",720,6,"19",0,"GE",36,11
"nr133","Minten","Daniel",1989,0,"Sol",816,7,"19",0,"GE",26,11
"nr134","Diologent","Cecilia",1987,1,"Sol",805,8,"19",0,"GE",28,11
"nr135","Keucheyan","Razmig",1975,0,"Sol",363,1,"20",0,"GE",40,11
"nr136","Planche","Jeanne",1977,1,"Sol",337,2,"20",0,"GE",38,11
"nr137","Allgöwer (Kirberg)","Lucy (Gloria)",1947,1,"Sol",359,3,"20",0,"GE",68,11
"nr138","Daher","Joseph",1984,0,"Sol",300,4,"20",0,"GE",31,11
"nr139","Prezioso Batou","Stefania (Stéfanie)",1969,1,"Sol",396,5,"20",0,"GE",46,11
"nr140","Guex","Sébastien",1956,0,"Sol",414,6,"20",0,"GE",59,11
"nr141","Maystre","Marie-Pierre",1950,1,"Sol",458,7,"20",0,"GE",65,11
"nr142","Marti","Werner",1957,0,"Sol",264,8,"20",0,"GE",58,11
"nr143","Tortosa","Juan",1957,0,"Sol",366,9,"20",0,"GE",58,11
"nr144","Morand","Louise",1997,1,"FDP",888,1,"21",0,"GE",18,11
"nr145","Jacquier","Jérôme",1993,0,"FDP",551,2,"21",0,"GE",22,11
"nr146","Daher","Vincent",1993,0,"FDP",568,3,"21",0,"GE",22,11
"nr147","Passera","Antoine",1993,0,"FDP",546,4,"21",0,"GE",22,11
"nr148","Atiek","Mohamed",1992,0,"FDP",546,5,"21",0,"GE",23,11
"nr149","Naville","Laurent",1992,0,"FDP",635,6,"21",0,"GE",23,11
"nr150","Grognuz","Fabien",1989,0,"FDP",569,7,"21",0,"GE",26,11
"nr151","Sneiders","Marc",1962,0,"Ü",781,1,"22",0,"GE",53,11
"nr152","Keller","Martine",1950,1,"Ü",820,2,"22",0,"GE",65,11
"nr153","Vidonne","Thierry",1967,0,"BDP",2066,1,"23",0,"GE",48,11
"nr154","Jaria","Anthony",1980,0,"BDP",1120,2,"23",0,"GE",35,11
"nr155","Piguet","Charles-Emmanuel (Charles)",1986,0,"BDP",1026,3,"23",0,"GE",29,11
"nr156","Borgeaud","Sandra",1971,1,"BDP",1010,4,"23",0,"GE",44,11
"nr157","Thurnherr","Laurent",1986,0,"BDP",870,5,"23",0,"GE",29,11
"nr158","Fader","Annette (Annette Yasuka)",1989,1,"BDP",1026,6,"23",0,"GE",26,11
"nr159","Zagato","Sophie",1990,1,"BDP",988,7,"23",0,"GE",25,11
"nr160","Champoud","Gilles",1975,0,"BDP",798,8,"23",0,"GE",40,11
"nr161","Kugel","Mark",1983,0,"BDP",925,9,"23",0,"GE",32,11
"nr162","Kasteler (Kasteler-Budde)","Valérie",1961,1,"EVP",1437,1,"24",0,"GE",54,11
"nr163","Suardi","Joanne",1988,1,"EVP",1208,2,"24",0,"GE",27,11
"nr164","Baier","Florian",1976,0,"EVP",1377,3,"24",0,"GE",39,11
"nr165","Louhichi Voëffray","Rym",1977,1,"EVP",1074,4,"24",0,"GE",38,11
"nr166","Ribeiro","Michel",1988,0,"SP",465,1,"25",0,"GE",27,11
"nr167","Bargetzi","Amelie",1994,1,"SP",621,2,"25",0,"GE",21,11
"nr168","Pun","Tristan",1990,0,"SP",452,3,"25",0,"GE",25,11
"nr169","Pereiras Gomes","Stéphanie",1996,1,"SP",514,4,"25",0,"GE",19,11
"nr170","Heri Bezençon","Dersu",1990,0,"SP",386,5,"25",0,"GE",25,11
"nr171","Angelo","Antonio",1953,0,"MCR",553,1,"26",0,"GE",62,11
"nr172","Pistis","Sandro",1972,0,"MCR",764,2,"26",0,"GE",43,11
"nr173","Le Joncour","Céline",1973,1,"MCR",519,3,"26",0,"GE",42,11
"nr174","Sirena","Guillermo",1958,0,"MCR",423,4,"26",0,"GE",57,11
"nr175","Derouette","Jean-Paul",1974,0,"MCR",485,5,"26",0,"GE",41,11
"nr176","Besse","Muriel",1955,1,"MCR",468,6,"26",0,"GE",60,11
"nr177","Madani","Amar",1962,0,"MCR",447,7,"26",0,"GE",53,11
"nr180","Bauer","Philippe",1962,0,"FDP",11364,1,"1",1,"NE",53,4
"nr182","Jurt","Andreas",1964,0,"FDP",8840,2,"1",0,"NE",51,4
"nr212","Lanthemann","Marlène",1958,1,"FDP",8758,3,"1",0,"NE",57,4
"nr311","Ruedin","Nicolas",1975,0,"FDP",9743,4,"1",0,"NE",40,4
"nr411","Barbosa","Sonia Stella",1989,1,"FDP",1038,1,"2",0,"NE",26,4
"nr511","Barone","Michele",1990,0,"FDP",856,2,"2",0,"NE",25,4
"nr611","Kienholz","Léo",1995,0,"FDP",865,3,"2",0,"NE",20,4
"nr711","Von Allmen","Anthony",1992,0,"FDP",1011,4,"2",0,"NE",23,4
"nr811","Maire","Jacques-André",1957,0,"SP",14025,1,"3",1,"NE",58,4
"nr911","Nater","Florence",1969,1,"SP",8239,2,"3",0,"NE",46,4
"nr1011","Hurni","Baptiste",1986,0,"SP",8130,3,"3",0,"NE",29,4
"nr1111","Perret Ducommun","Laura",1977,1,"SP",5744,4,"3",0,"NE",38,4
"nr1211","Widmer","Aurélie",1986,1,"SP",1722,1,"4",0,"NE",29,4
"nr1311","Muhlemann","Loïc",1993,0,"SP",1209,2,"4",0,"NE",22,4
"nr1411","Humbert","Céline",1989,1,"SP",1464,3,"4",0,"NE",26,4
"nr1511","De Montmollin","Antoine",1994,0,"SP",1316,4,"4",0,"NE",21,4
"nr1611","de la Reussille","Denis",1960,0,"PdA",10921,1,"5",1,"NE",55,4
"nr1711","Dursun","Derya",1976,1,"PdA",3156,2,"5",0,"NE",39,4
"nr183","Blum","Sarah Hélène",1984,1,"PdA",3354,3,"5",0,"NE",31,4
"nr192","Bregnard","Théo",1975,0,"PdA",3723,4,"5",0,"NE",40,4
"nr202","Fivaz","Fabien",1978,0,"GPS",4801,1,"6",0,"NE",37,4
"nr213","Baur","Nicole",1961,1,"GPS",3647,2,"6",0,"NE",54,4
"nr222","Vara","Céline",1984,1,"GPS",3771,3,"6",0,"NE",31,4
"nr232","Herrmann","Patrick",1956,0,"GPS",4246,4,"6",0,"NE",59,4
"nr241","Clottu","Raymond",1967,0,"SVP",8158,1,"7",1,"NE",48,4
"nr251","Courvoisier","Blaise",1955,0,"SVP",8032,2,"7",0,"NE",60,4
"nr261","Legrix","Jean-Charles",1962,0,"SVP",6999,3,"7",0,"NE",53,4
"nr271","Arlettaz","Marc",1985,0,"SVP",6485,4,"7",0,"NE",30,4
"nr281","Challandes","Xavier",1991,0,"SVP",1480,1,"8",0,"NE",24,4
"nr291","Schär","Damien",1990,0,"SVP",1266,2,"8",0,"NE",25,4
"nr301","Moser","Marco",1997,0,"SVP",1154,3,"8",0,"NE",18,4
"nr312","Frey","Loïc",1991,0,"SVP",1556,4,"8",0,"NE",24,4
"nr321","Dolder","Christophe",1950,0,"CVP",1373,1,"35",0,"NE",65,4
"nr331","Suter","Laurent",1950,0,"CVP",1420,2,"35",0,"NE",65,4
"nr341","Martinez","Vincent",1967,0,"CVP",2030,3,"35",0,"NE",48,4
"nr351","Rumo","Freddy",1944,0,"CVP",1434,4,"35",0,"NE",71,4
"nr361","Grandjean","Antoine",1958,0,"GLP",2279,1,"36",0,"NE",57,4
"nr371","Hild","Thierry",1959,0,"GLP",1129,2,"36",0,"NE",56,4
"nr381","Jospin","Laurent David",1967,0,"GLP",1184,3,"36",0,"NE",48,4
"nr391","Tissot-Daguette","Mireille",1989,1,"GLP",1380,4,"36",0,"NE",26,4
"nr401","Geiser","Raphaël",1992,0,"BDP",374,1,"37",0,"NE",23,4
"nr412","Kaufmann","Tim",1994,0,"BDP",313,2,"37",0,"NE",21,4
"nr421","Barizzi","Antoine",1993,0,"BDP",578,3,"37",0,"NE",22,4
"nr431","Jaquet","Nicolas",1975,0,"BDP",404,4,"37",0,"NE",40,4
"nr441","Christe","Laurent",1974,0,"Ü",166,1,"38",0,"NE",41,4
"nr451","Locatelli","Pascal",1972,0,"Ü",205,2,"38",0,"NE",43,4
"nr461","Hainard","Frédéric",1975,0,"Ü",797,3,"38",0,"NE",40,4
"nr471","Bühler","Daniel",1947,0,"Ü",170,4,"38",0,"NE",68,4
"nr481","Wroblevski","Thomas",1987,0,"Ü",539,1,"39",0,"NE",28,4
"nr491","Griffon","Michèle",1956,1,"Ü",459,2,"39",0,"NE",59,4
"nr501","Weiss","Gilles",1980,0,"Ü",447,3,"39",0,"NE",35,4
"nr512","Griffon","Valérie",1982,1,"Ü",431,4,"39",0,"NE",33,4
"nr521","Marti","Karim-Frédéric",1959,0,"Ü",161,1,"40",0,"NE",56,4
"nr531","Pieren","Jean-Luc",1955,0,"Ü",123,1,"41",0,"NE",60,4
"nr184","Schmidt","Roberto",1962,0,"CVP",27425,1,"1",1,"VS",53,8
"nr185","Bumann","Konstantin",1967,0,"CVP",9691,2,"1",0,"VS",48,8
"nr214","Clausen","Diego",1966,0,"CVP",10265,3,"1",0,"VS",49,8
"nr313","Egger","Thomas",1967,0,"CVP",11620,4,"1",0,"VS",48,8
"nr413","Guntern","Urs",1962,0,"CVP",8587,5,"1",0,"VS",53,8
"nr513","Schnyder","Philipp",1953,0,"CVP",9231,6,"1",0,"VS",62,8
"nr612","Reynard","Mathias",1987,0,"SP",33469,1,"2",1,"VS",28,8
"nr712","Furrer-Treyer","Christa",1964,1,"SP",8820,2,"2",0,"VS",51,8
"nr812","Lanthemann","Barbara",1965,1,"SP",9303,3,"2",0,"VS",50,8
"nr912","Bourgeois","Gaël",1983,0,"SP",14102,4,"2",0,"VS",32,8
"nr1012","Eyer","German",1960,0,"SP",10193,5,"2",0,"VS",55,8
"nr1112","Salamin","Olivier",1971,0,"SP",11592,6,"2",0,"VS",44,8
"nr1212","Turin","Olivier",1973,0,"SP",9757,7,"2",0,"VS",42,8
"nr1312","Germanier","Jean-René",1958,0,"FDP",26626,1,"3",0,"VS",57,8
"nr1412","Bender","Léonard",1957,0,"FDP",22976,2,"3",0,"VS",58,8
"nr1512","Kündig Stoessel","Iris",1961,1,"FDP",13590,3,"3",0,"VS",54,8
"nr1612","Mottet","Xavier",1983,0,"FDP",16419,4,"3",0,"VS",32,8
"nr1712","Nantermod","Philippe",1984,0,"FDP",30253,5,"3",1,"VS",31,8
"nr186","Planche","Patrick",1973,0,"FDP",11927,6,"3",0,"VS",42,8
"nr193","Riesen","Vincent",1977,0,"FDP",15373,7,"3",0,"VS",38,8
"nr203","Amherd","Viola",1962,1,"CVP",29259,1,"4",1,"VS",53,8
"nr215","Bregy","Philipp Matthias",1978,0,"CVP",13697,2,"4",0,"VS",37,8
"nr223","Bürgin","Christoph",1957,0,"CVP",9436,3,"4",0,"VS",58,8
"nr233","Kalbermatten","Roger",1966,0,"CVP",8720,4,"4",0,"VS",49,8
"nr242","Pfammatter","Josef",1963,0,"CVP",8457,5,"4",0,"VS",52,8
"nr252","Walter","Francesco",1960,0,"CVP",7515,6,"4",0,"VS",55,8
"nr262","Zenhäusern","Marcel",1960,0,"CVP",8477,7,"4",0,"VS",55,8
"nr272","Buttet","Yannick",1977,0,"CVP",43584,1,"5",1,"VS",38,8
"nr282","Marchand-Balet","Géraldine",1971,1,"CVP",32017,2,"5",1,"VS",44,8
"nr292","Theoduloz","David",1980,0,"CVP",20403,3,"5",0,"VS",35,8
"nr302","Clivaz","Patrice",1958,0,"CVP",21706,4,"5",0,"VS",57,8
"nr314","Roduit","Benjamin",1962,0,"CVP",22628,5,"5",0,"VS",53,8
"nr322","Lovisa","Blaise",1981,0,"CVP",19223,6,"5",0,"VS",34,8
"nr332","Métrailler","Robert",1960,0,"CSP",2615,1,"6",0,"VS",55,8
"nr342","Bender Girardet","Marie-Paul",1960,1,"CSP",1239,2,"6",0,"VS",55,8
"nr352","Cretton","Anaïs",1993,1,"CSP",1290,3,"6",0,"VS",22,8
"nr362","Launaz Perrin","Eliane",1955,1,"CSP",1638,4,"6",0,"VS",60,8
"nr372","Theler","Maud",1986,1,"CSP",2120,5,"6",0,"VS",29,8
"nr382","Darbellay","Jonathan",1993,0,"CSP",1597,6,"6",0,"VS",22,8
"nr392","Siggen","Michaël",1979,0,"CSP",1096,7,"6",0,"VS",36,8
"nr402","Borgeat","Raymond",1965,0,"CSP",1945,8,"6",0,"VS",50,8
"nr414","Clivaz","Christophe",1969,0,"GPS",11399,1,"7",0,"VS",46,8
"nr422","Volpi Fournier","Marylène",1968,1,"GPS",6763,2,"7",0,"VS",47,8
"nr432","Darioli Bongi","Myriam",1977,1,"GPS",3167,3,"7",0,"VS",38,8
"nr442","Günther","Vincent",1969,0,"GPS",3094,4,"7",0,"VS",46,8
"nr452","Joris Mayoraz","Claudine",1982,1,"GPS",3073,5,"7",0,"VS",33,8
"nr462","Morisod","Carole",1968,1,"GPS",3309,6,"7",0,"VS",47,8
"nr472","Wolf","Brigitte",1967,1,"GPS",1739,1,"8",0,"VS",48,8
"nr482","Stüdi","Ursula",1970,1,"GPS",913,2,"8",0,"VS",45,8
"nr492","Kälin","Peter",1956,0,"GPS",853,3,"8",0,"VS",59,8
"nr502","Andereggen","Stéphane",1955,0,"GPS",954,4,"8",0,"VS",60,8
"nr514","Weissen","Andreas",1957,0,"GPS",1852,5,"8",0,"VS",58,8
"nr522","Lugon","Céline",1990,1,"GPS",1062,1,"9",0,"VS",25,8
"nr532","Ezeakor Tornay","Anne",1981,1,"GPS",702,2,"9",0,"VS",34,8
"nr541","Savioz","Jérémy",1989,0,"GPS",1377,3,"9",0,"VS",26,8
"nr551","Mascitti","Aurelian",1985,0,"GPS",912,4,"9",0,"VS",30,8
"nr561","Clerc","Mathieu",1989,0,"GPS",1209,5,"9",0,"VS",26,8
"nr571","Morisod","Kevin",1993,0,"GPS",746,6,"9",0,"VS",22,8
"nr581","Bodoira","Cédric",1989,0,"GPS",717,7,"9",0,"VS",26,8
"nr591","Claivaz","Gratien",1990,0,"CVP",924,1,"10",0,"VS",25,8
"nr601","Rappaz","Gaïl",1986,0,"CVP",1199,2,"10",0,"VS",29,8
"nr613","Rittmann","Médéric",1994,0,"CVP",1029,3,"10",0,"VS",21,8
